committer.date,committer.date_first,committer.date_last,time,freq
1,2019-05-29,2019-05-29,1,1.0
1,2020-01-20,2020-01-20,1,1.0
1,2023-02-23,2023-02-23,1,1.0
1,2021-05-10,2021-05-10,1,1.0
1,2023-02-07,2023-02-07,1,1.0
1,2019-05-16,2019-05-16,1,1.0
1,2024-01-22,2024-01-22,1,1.0
1,2021-12-22,2021-12-22,1,1.0
1,2019-11-05,2019-11-05,1,1.0
1,2021-07-20,2021-07-20,1,1.0
1,2022-02-05,2022-02-05,1,1.0
1,2021-10-13,2021-10-13,1,1.0
1,2022-06-26,2022-06-26,1,1.0
1,2017-05-27,2017-05-27,1,1.0
1,2022-08-14,2022-08-14,1,1.0
1,2023-06-28,2023-06-28,1,1.0
1,2023-06-08,2023-06-08,1,1.0
1,2020-04-13,2020-04-13,1,1.0
1,2020-11-01,2020-11-01,1,1.0
1,2023-01-17,2023-01-17,1,1.0
1,2024-05-14,2024-05-14,1,1.0
1,2020-08-05,2020-08-05,1,1.0
1,2022-01-04,2022-01-04,1,1.0
1,2021-02-17,2021-02-17,1,1.0
1,2022-10-30,2022-10-30,1,1.0
1,2023-08-04,2023-08-04,1,1.0
1,2021-07-25,2021-07-25,1,1.0
1,2024-01-04,2024-01-04,1,1.0
1,2021-11-29,2021-11-29,1,1.0
1,2019-03-26,2019-03-26,1,1.0
1,2017-07-18,2017-07-18,1,1.0
1,2020-04-13,2020-04-13,1,1.0
1,2020-07-15,2020-07-15,1,1.0
1,2022-09-23,2022-09-23,1,1.0
1,2017-06-30,2017-06-30,1,1.0
1,2019-10-23,2019-10-23,1,1.0
1,2022-07-09,2022-07-09,1,1.0
1,2020-11-12,2020-11-12,1,1.0
1,2020-03-24,2020-03-24,1,1.0
1,2024-01-22,2024-01-22,1,1.0
1,2019-10-07,2019-10-07,1,1.0
1,2022-05-18,2022-05-18,1,1.0
1,2019-03-02,2019-03-02,1,1.0
1,2021-08-28,2021-08-28,1,1.0
